Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
21105118,OMOP262000,varenicline 0.5 MG Oral Tablet [Champix] by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,"18,450","18,450","14,840","14,840",Drug,RxNorm Extension,
40736439,OMOP4720788,varenicline 0.5 MG Oral Tablet [Champix] by Sigma,Marketed Product,Standard,6/3/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
21164062,OMOP262001,varenicline 0.5 MG Oral Tablet [Champix] by Sigma-Tau,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
21114921,OMOP262002,varenicline 0.5 MG Oral Tablet [Champix] by Waymade,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
780447,637188,varenicline 0.5 MG Oral Tablet [Chantix],Branded Drug,Standard,7/8/2006,12/30/2099,"733,520","8,769,550","393,480","5,665,730",Drug,RxNorm,
44098252,OMOP1092883,varenicline 0.5 MG Oral Tablet [Gd-Varenicline],Branded Drug,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
44087549,OMOP1082180,varenicline 0.5 MG Oral Tablet [Gd-Varenicline] by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
40703337,OMOP4754460,{(varenicline 0.5 MG Oral Tablet) / (varenicline 1 MG Oral Tablet) } Pack,Clinical Pack,Standard,6/3/2018,12/30/2099,"62,960","68,370","40,400","44,280",Drug,RxNorm Extension,
40703339,OMOP4754458,{(varenicline 0.5 MG Oral Tablet) / (varenicline 1 MG Oral Tablet) } Pack [Champix],Branded Pack,Standard,6/3/2018,12/30/2099,0,"5,410",0,"3,880",Drug,RxNorm Extension,
40703341,OMOP4754456,{(varenicline 0.5 MG Oral Tablet) / (varenicline 1 MG Oral Tablet) } Pack [Champix] by Mawdsley-Brooks,Marketed Product,Standard,6/3/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
40703342,OMOP4754455,{(varenicline 0.5 MG Oral Tablet) / (varenicline 1 MG Oral Tablet) } Pack [Champix] by Pfizer,Marketed Product,Standard,6/3/2018,12/30/2099,"5,410","5,410","3,880","3,880",Drug,RxNorm Extension,
40703338,OMOP4754459,{(varenicline 0.5 MG Oral Tablet) / (varenicline 1 MG Oral Tablet) } Pack [Champix] by Sigma Pharmaceuticals Plc,Marketed Product,Standard,6/3/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
40703340,OMOP4754457,{(varenicline 0.5 MG Oral Tablet) / (varenicline 1 MG Oral Tablet) } Pack [Champix] by Waymade,Marketed Product,Standard,6/3/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
41075685,OMOP2273647,varenicline 1.33 MG,Clinical Drug Comp,Standard,8/23/2017,12/30/2099,0,"2,650",0,"2,350",Drug,RxNorm Extension,
41233727,OMOP2431689,varenicline 1.33 MG [Champix],Branded Drug Comp,Standard,8/23/2017,12/30/2099,0,"2,650",0,"2,350",Drug,RxNorm Extension,
41020567,OMOP2218529,varenicline 1.33 MG Oral Tablet,Clinical Drug,Standard,8/23/2017,12/30/2099,0,"2,650",0,"2,350",Drug,RxNorm Extension,
40927061,OMOP2125023,varenicline 1.33 MG Oral Tablet Box of 25,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,"2,650",0,"2,350",Drug,RxNorm Extension,
40833736,OMOP2031698,varenicline 1.33 MG Oral Tablet Box of 53,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
41306968,OMOP2504930,varenicline 1.33 MG Oral Tablet [Champix],Branded Drug,Standard,8/23/2017,12/30/2099,0,"2,650",0,"2,350",Drug,RxNorm Extension,
41182647,OMOP2380609,varenicline 1.33 MG Oral Tablet [Champix] Box of 25,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,"2,650",0,"2,350",Drug,RxNorm Extension,
41069369,OMOP2267331,varenicline 1.33 MG Oral Tablet [Champix] Box of 25 by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,"2,650","2,650","2,350","2,350",Drug,RxNorm Extension,
41306967,OMOP2504929,varenicline 1.33 MG Oral Tablet [Champix] Box of 53,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
44065360,OMOP1059991,varenicline 1.5 MG,Clinical Drug Comp,Standard,8/23/2017,12/30/2099,0,340,0,280,Drug,RxNorm Extension,
44105323,OMOP1099954,varenicline 1.5 MG [Champix],Branded Drug Comp,Standard,8/23/2017,12/30/2099,0,340,0,280,Drug,RxNorm Extension,
44070964,OMOP1065595,varenicline 1.5 MG Oral Tablet,Clinical Drug,Standard,8/23/2017,12/30/2099,0,340,0,280,Drug,RxNorm Extension,
41146160,OMOP2344122,varenicline 1.5 MG Oral Tablet Box of 53,Clinical Drug Box,Standard,8/23/2017,12/30/2099,0,340,0,280,Drug,RxNorm Extension,
44124327,OMOP1118958,varenicline 1.5 MG Oral Tablet [Champix],Branded Drug,Standard,8/23/2017,12/30/2099,0,340,0,280,Drug,RxNorm Extension,
40995009,OMOP2192971,varenicline 1.5 MG Oral Tablet [Champix] Box of 53,Branded Drug Box,Standard,8/23/2017,12/30/2099,0,340,0,280,Drug,RxNorm Extension,
40851153,OMOP2049115,varenicline 1.5 MG Oral Tablet [Champix] Box of 53 by Cc,Marketed Product,Standard,8/23/2017,12/30/2099,340,340,280,280,Drug,RxNorm Extension,
44113430,OMOP1108061,varenicline 1.5 MG Oral Tablet [Champix] by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,
780445,636675,varenicline 1 MG,Clinical Drug Comp,Standard,7/8/2006,12/30/2099,"4,170","21,680,540","2,590","10,182,500",Drug,RxNorm,
